code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
501,,,2.7,4,PLANIFICADOR,,,0.13,1.29999995231628E-02,,,Horas,2.3325
502,,,2.7,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.025,,,Horas,2.3325
533,,,2.7,4,CAPATAZ,,,0.5,0.05,,,Horas,2.0625
1416,,,2.7,5,MANDARRIA 2 KG,,,1,0.1,,,PZA,0.10625
170,,,2.7,5,CINCEL PUNTA PLANA 1'' X 10'',,,1,0.1,,,PZA,0.01625
74,,,2.7,5,CARRETILLA RUEDA DE GOMA CAP= 55 Lts,,,1,0.1,,,PZA,0.15625
2.8,,,,2,"Desmontaje de tubería Ø 3 ¼"" ASTME 192 (longitud indicada por CAPCA)",,,,32,60,8,PZA,
141,,,2.8,4,FABRICADOR 1RA,,,1,0.133333333333333,,,Horas,1.4425
2,,,2.8,4,AYUDANTE,,,3,0.4,,,Horas,1.04625
501,,,2.8,4,PLANIFICADOR,,,0.13,1.73333326975505E-02,,,Horas,2.3325
502,,,2.8,4,SUPERVISOR DE SEGURIDAD,,,0.25,3.33333333333333E-02,,,Horas,2.3325
533,,,2.8,4,CAPATAZ,,,0.5,6.66666666666667E-02,,,Horas,2.0625
1007,,,2.8,5,EXTENSION ELECTRICA 100 MTS,,,1,0.133333333333333,,,PZA,0.15625
1086,,,2.8,5,MECATE,,,20,2.66666666666667,,,PZA,0.01625
1127,,,2.8,5,ILUMINACION PROVISIONAL (REFLECTOR),,,1,0.133333333333333,,,PZA,0.1875
432,,,2.8,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1,0.133333333333333,,,PZA,1
666,,,2.8,5,CARRUCHA DE 2 RUEDAS,,,1,0.133333333333333,,,PZA,0.325
2.9,,,,2,"Preparación de plantillas tubería Ø 3 ¼""",,,,12,8,8,PZA,
141,,,2.9,4,FABRICADOR 1RA,,,1,1,,,Horas,1.4425
2,,,2.9,4,AYUDANTE,,,2,2,,,Horas,1.04625
501,,,2.9,4,PLANIFICADOR,,,0.13,0.129999995231628,,,Horas,2.3325
502,,,2.9,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.25,,,Horas,2.3325
533,,,2.9,4,CAPATAZ,,,0.5,0.5,,,Horas,2.0625
69,,,2.9,4,SOLDADOR DE 1RA,,,1,1,,,Horas,1.3775
1001,,,2.9,5,MOTORTOOL,,,1,1,,,PZA,0.375
1007,,,2.9,5,EXTENSION ELECTRICA 100 MTS,,,1,1,,,PZA,0.15625
1049,,,2.9,5,CABLE PINZA 25 MTRS,,,1,1,,,PZA,0.71875
1115,,,2.9,5,ESMERIL RECTO,,,1,1,,,PZA,0.49875
