code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
6992,,,1.3,3,PERFIL DE ACERO ESTRUCTURAL,,,1,1,,,KG,1.63
8500,,,1.3,3,SERVICIO DE GALVANIZADO,,,1,1,,,KG,1.32
1.4,,,,2,FABRICACIÓN DE TRAMO MO,,,,131.78,400,8,KG,
1007,,,1.4,5,EXTENSION ELECTRICA 100 MTS,,,1,0.02,,,KG,0.15625
1040,,,1.4,5,SOLDADORA MICROWIRE,,,1,0.02,,,KG,6.875
1138,,,1.4,5,EXTENSION 440 VOLTS ,,,1,0.02,,,KG,0.5
1149,,,1.4,5,CIZALLA HIDRAULICA,,,0.1,0.002,,,KG,31.25
141,,,1.4,4,FABRICADOR 1RA,,,1,0.02,,,Horas,2.25
1455,,,1.4,5,PUENTE GRUA 4.5 TON,,,0.25,0.005,,,KG,5.625
2,,,1.4,4,AYUDANTE,,,1,0.02,,,Horas,1.875
293,,,1.4,5,"ESMERIL DE 7""",,,1,0.02,,,KG,0.5
546,,,1.4,4,OPERADOR ,,,0.1,0.002,,,Horas,0.25
69,,,1.4,4,SOLDADOR DE 1ERA,,,1,0.02,,,Horas,2.125
6992,,,1.4,3,PERFIL DE ACERO ESTRUCTURAL,,,1,1,,,KG,1.63
8500,,,1.4,3,SERVICIO DE GALVANIZADO,,,1,1,,,KG,1.32
1.5,,,,2,FABRICACIÓN DE PLANTILLA,,,,1,1,8,SG,
1263,,,1.5,5,MESA DE CORTE,,,0.65,5.2,,,SG,45
141,,,1.5,4,FABRICADOR 1RA,,,0.5,4,,,Horas,1.125
2,,,1.5,4,AYUDANTE,,,1,8,,,Horas,1.875
546,,,1.5,4,OPERADOR ,,,0.65,5.199999809,,,Horas,1.625
5660,,,1.5,3,"LAMINA 1.20X2.40X5/16"" ESP (8 MM)",,,0.75,0.75,,,PZAS,201.34
