code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price,
004602,,,1.5,5,SOLDADORA ELECTRICA-CD/DC 250,,,0.2,0.007512,,,Unidades,5.125,41.0,
1.6,,,1,2,Montaje de Estructuras Metalicas en Acero al Carbono.,,,,1.0,272.665,8,kg,,,
002575,,,1.6,4,PLANIFICADOR,,,0.13,0.003814,,,Dias,2.4963,19.97,
003014,,,1.6,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.007335,,,Dias,2.4963,19.97,
000767,,,1.6,4,CAPATAZ,,,0.5,0.01467,,,Dias,2.2075,17.66,
001532,,,1.6,4,FABRICADOR,,,1.0,0.02934,,,Dias,1.6425,13.14,
002998,,,1.6,4,SOLDADOR,,,0.2,0.005868,,,Dias,1.5688,12.55,
000307,,,1.6,4,AYUDANTE,,,2.0,0.05868,,,Dias,1.1913,9.53,
004570,,,1.6,5,EXTENSION ELECTRICA-ESTANDAR,,,0.2,0.005868,,,Unidades,0.1713,1.37,
004562,,,1.6,5,ESMERIL 7´´-VARIOS,,,0.2,0.005868,,,Unidades,0.5113,4.09,
004538,,,1.6,5,SEÑORITA-CADENA 3TON,,,1.0,0.02934,,,Unidades,0.5163,4.13,
004817,,,1.6,5,KIT DE ESLINGAS PARA IZAMIENTO,,,2.0,0.05868,,,Unidades,0.25,2.0,
004602,,,1.6,5,SOLDADORA ELECTRICA-CD/DC 250,,,0.2,0.005868,,,Unidades,5.125,41.0,
000780,,,1.6,5,CARETA PARA SOLDAR CON VISERA,,,0.2,0.005868,,,Pza,0.0625,0.5,
004761,,,1.6,5,KIT DE GRILLETES PARA IZAJE,,,4.0,0.11736,,,Unidades,0.0313,0.25,
004818,,,1.6,5,KIT DE GUAYAS PARA IZAMIENTO,,,2.0,0.05868,,,Unidades,0.3125,2.5,
1.7,,,1,2,Soldadura SMAW de Estructuras Metalicas en Acero al Carbono (un solo pase de soldadura).,,,,1.0,24.92,8,m,,,
002575,,,1.7,4,PLANIFICADOR,,,0.13,0.041734,,,Dias,2.4963,19.97,
003014,,,1.7,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.080257,,,Dias,2.4963,19.97,
000767,,,1.7,4,CAPATAZ,,,0.5,0.160514,,,Dias,2.2075,17.66,
002998,,,1.7,4,SOLDADOR,,,1.0,0.321027,,,Dias,1.5688,12.55,
000307,,,1.7,4,AYUDANTE,,,2.0,0.642055,,,Dias,1.1913,9.53,
004602,,,1.7,5,SOLDADORA ELECTRICA-CD/DC 250,,,1.0,0.321027,,,Unidades,5.125,41.0,
004570,,,1.7,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.321027,,,Unidades,0.1713,1.37,
004561,,,1.7,5,ESMERIL  4.1/2´´-VARIOS,,,0.95,0.304976,,,Unidades,0.3438,2.75,
1.8,,,1,2,Montaje y Soldadura SMAW de Estructuras Metálicas en Acero al Carbono en Sitio.,,,,1.0,169.753,8,kg,,,
002575,,,1.8,4,PLANIFICADOR,,,0.13,0.006127,,,Dias,2.4963,19.97,
003014,,,1.8,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.011782,,,Dias,2.4963,19.97,
000767,,,1.8,4,CAPATAZ,,,0.5,0.023564,,,Dias,2.2075,17.66,
001532,,,1.8,4,FABRICADOR,,,1.0,0.047127,,,Dias,1.6425,13.14,
002998,,,1.8,4,SOLDADOR,,,1.0,0.047127,,,Dias,1.5688,12.55,
000307,,,1.8,4,AYUDANTE,,,2.0,0.094255,,,Dias,1.1913,9.53,
004602,,,1.8,5,SOLDADORA ELECTRICA-CD/DC 250,,,1.0,0.047127,,,Unidades,5.125,41.0,
