code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price
002998,,,A.6,4,SOLDADOR DE 1ERA,,,1,0.5,,,Horas,1.56875,12.55
004570,,,A.6,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.5,,,Horas,0.17125,1.37
001817,,,A.6,5,ILUMINACION 400W UNIVERSAL,,,1,0.5,,,Horas,0.125,1
004746,,,A.6,5,KIT DE HERRAMIENTAS MENORES,,,1,0.5,,,Horas,0.2625,2.1
008044,,,A.6,5,LLAVE PARA TUBO 36 PULG,,,2,1,,,Horas,0.0875,0.7
004731,,,A.6,5,MANDARRIA 2KG,,,1,0.5,,,Horas,0.03125,0.25
007981,,,A.6,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.5,,,Horas,0.325,2.6
A.7,,,A,2,DESMONTAJE DE TACOS DE FIJACION DEL MOTOR ELECTICO EN LA TRANSMISION DEL MOLINO N° 5,,,,8,16,8,PZA,,
001532,,,A.7,4,FABRICADOR 1RA,,,1,0.5,,,Horas,1.6425,13.14
015246,,,A.7,4,AYUDANTE,,,1,0.5,,,Horas,1.19125,9.53
003014,,,A.7,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.125,,,Horas,2.49625,19.97
000767,,,A.7,4,CAPATAZ,,,0.5,0.25,,,Horas,2.2075,17.66
004570,,,A.7,5,EXTENSION ELECTRICA-ESTANDAR,,,1,0.5,,,Horas,0.17125,1.37
004746,,,A.7,5,KIT DE HERRAMIENTAS MENORES,,,1,0.5,,,Horas,0.2625,2.1
004731,,,A.7,5,MANDARRIA 2KG,,,1,0.5,,,Horas,0.03125,0.25
004544,,,A.7,5,CARETA FACIAL-ESTANDAR,,,1,0.5,,,Horas,0.125,1
007981,,,A.7,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,0.5,,,Horas,0.325,2.6
004658,,,A.7,5,SOLDADORA ELECTRICA-450 DC,,,1,0.5,,,Horas,5.125,41
004557,,,A.7,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1,0.5,,,Horas,0.995,7.96
004561,,,A.7,5,ESMERIL  4.1/2´´-VARIOS,,,1,0.5,,,Horas,0.34375,2.75
004562,,,A.7,5,ESMERIL 7´´-VARIOS,,,1,0.5,,,Horas,0.51125,4.09
A.8,,,A,2,"APOYO PARA EL MONTAJE DE UN (01) REDUCTOR PLANETARIO EN LA TRANSMISION DEL MOLINO N° 5  DEL CENTRAL MOLIPASA, INCLUYE, ALINEACION MECANICA DEL REDUCTOR PLANETARIO Y  TRASLADO DESDE EL SITIO DE ALMACENAMIENTO A LA UBICACION DE INSTALACION FINAL. (SUMINISTR",,,,1,0.5,8,UNIDAD,,
015246,,,A.8,4,AYUDANTE,,,2,32,,,Horas,1.19125,9.53
003014,,,A.8,4,SUPERVISOR DE SEGURIDAD,,,0.25,4,,,Horas,2.49625,19.97
000767,,,A.8,4,CAPATAZ,,,0.5,8,,,Horas,2.2075,17.66
004746,,,A.8,5,KIT DE HERRAMIENTAS MENORES,,,1,16,,,Horas,0.2625,2.1
A.9,,,A,2,"APOYO PARA EL MONTAJE DE UN (01) MOTOR ELECTRICO CON ACOPLE EN LA TRANSMISION DEL MOLINO N° 5 DEL CENTRAL MOLIPASA, INCLUYE, ALINEACION MECANICA DEL MOTOR CON ACOPEL Y TRASLADO DESDE EL SITIO DE ALMACENAMIENTO A LA UBICACION DE INSTALACION FINAL. (SUMINIS",,,,1,0.5,8,UNIDAD,,
015246,,,A.9,4,AYUDANTE,,,2,32,,,Horas,1.19125,9.53
003014,,,A.9,4,SUPERVISOR DE SEGURIDAD,,,0.25,4,,,Horas,2.49625,19.97
000767,,,A.9,4,CAPATAZ,,,0.5,8,,,Horas,2.2075,17.66
004746,,,A.9,5,KIT DE HERRAMIENTAS MENORES,,,1,16,,,Horas,0.2625,2.1
A.10,,,A,2,"MONTAJE DE OCHO (8) ARANDELA CON LAMINAS E= 75MM DE 12"" X12""  ASTM A-36 PARA TUERCAS INFERIORES ( PESO TOTAL450 Kg)",,,,8,6,8,PZA,,
015246,,,A.10,4,AYUDANTE,,,2,2.66666666666667,,,Horas,1.19125,9.53
003014,,,A.10,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.333333333333333,,,Horas,2.49625,19.97
000767,,,A.10,4,CAPATAZ,,,0.5,0.666666666666667,,,Horas,2.2075,17.66
004570,,,A.10,5,EXTENSION ELECTRICA-ESTANDAR,,,1,1.33333333333333,,,Horas,0.17125,1.37
001817,,,A.10,5,ILUMINACION 400W UNIVERSAL,,,1,1.33333333333333,,,Horas,0.125,1
004746,,,A.10,5,KIT DE HERRAMIENTAS MENORES,,,1,1.33333333333333,,,Horas,0.2625,2.1
008044,,,A.10,5,LLAVE PARA TUBO 36 PULG,,,2,2.66666666666667,,,Horas,0.0875,0.7
004731,,,A.10,5,MANDARRIA 2KG,,,1,1.33333333333333,,,Horas,0.03125,0.25
007981,,,A.10,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1,1.33333333333333,,,Horas,0.325,2.6
